date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype
20200319,sqsthemi,NA,NA,1,water,None,N2/N2,A,1,median.TOF,406
20200319,sqsthemi,NA,NA,1,water,None,CB4856/CB4856,A,2,median.TOF,406
20200319,sqsthemi,NA,NA,1,water,None,ECA859/ECA859,A,3,median.TOF,377
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/ECA2517,A,4,median.TOF,390
20200319,sqsthemi,NA,NA,1,water,None,ECA859/CB4856,A,5,median.TOF,416.5
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/CB4856,A,6,median.TOF,396
20200319,sqsthemi,NA,NA,1,water,None,CB4856/ECA2517,A,7,median.TOF,402
20200319,sqsthemi,NA,NA,1,water,None,ECA859/ECA2517,A,8,median.TOF,327
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/ECA859,A,9,median.TOF,412
20200319,sqsthemi,NA,NA,1,water,None,N2/N2,B,1,median.TOF,410
20200319,sqsthemi,NA,NA,1,water,None,CB4856/CB4856,B,2,median.TOF,449
20200319,sqsthemi,NA,NA,1,water,None,ECA859/ECA859,B,3,median.TOF,400
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/ECA2517,B,4,median.TOF,327
20200319,sqsthemi,NA,NA,1,water,None,ECA859/CB4856,B,5,median.TOF,376
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/CB4856,B,6,median.TOF,375
20200319,sqsthemi,NA,NA,1,water,None,CB4856/ECA2517,B,7,median.TOF,404
20200319,sqsthemi,NA,NA,1,water,None,ECA859/ECA2517,B,8,median.TOF,396
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/ECA859,B,9,median.TOF,422
20200319,sqsthemi,NA,NA,1,water,None,N2/N2,C,1,median.TOF,397.5
20200319,sqsthemi,NA,NA,1,water,None,CB4856/CB4856,C,2,median.TOF,395
20200319,sqsthemi,NA,NA,1,water,None,ECA859/ECA859,C,3,median.TOF,397
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/ECA2517,C,4,median.TOF,411
20200319,sqsthemi,NA,NA,1,water,None,ECA859/CB4856,C,5,median.TOF,398
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/CB4856,C,6,median.TOF,386
20200319,sqsthemi,NA,NA,1,water,None,CB4856/ECA2517,C,7,median.TOF,409
20200319,sqsthemi,NA,NA,1,water,None,ECA859/ECA2517,C,8,median.TOF,421
20200319,sqsthemi,NA,NA,1,water,None,ECA2517/ECA859,C,9,median.TOF,403.5
20200319,sqsthemi,NA,NA,1,zinc,water,N2/N2,D,1,median.TOF,327
20200319,sqsthemi,NA,NA,1,zinc,water,CB4856/CB4856,D,2,median.TOF,261
20200319,sqsthemi,NA,NA,1,zinc,water,ECA859/ECA859,D,3,median.TOF,215
20200319,sqsthemi,NA,NA,1,zinc,water,ECA2517/ECA2517,D,4,median.TOF,253.5
20200319,sqsthemi,NA,NA,1,zinc,water,ECA859/CB4856,D,5,median.TOF,210
20200319,sqsthemi,NA,NA,1,zinc,water,ECA2517/CB4856,D,6,median.TOF,272
20200319,sqsthemi,NA,NA,1,zinc,water,CB4856/ECA2517,D,7,median.TOF,270
20200319,sqsthemi,NA,NA,1,zinc,water,ECA859/ECA2517,D,8,median.TOF,252
20200319,sqsthemi,NA,NA,1,zinc,water,ECA2517/ECA859,D,9,median.TOF,265.5
20200319,sqsthemi,NA,NA,1,zinc,water,N2/N2,E,1,median.TOF,309
20200319,sqsthemi,NA,NA,1,zinc,water,CB4856/CB4856,E,2,median.TOF,266
20200319,sqsthemi,NA,NA,1,zinc,water,ECA859/ECA859,E,3,median.TOF,204
20200319,sqsthemi,NA,NA,1,zinc,water,ECA2517/ECA2517,E,4,median.TOF,242
20200319,sqsthemi,NA,NA,1,zinc,water,ECA859/CB4856,E,5,median.TOF,233
20200319,sqsthemi,NA,NA,1,zinc,water,ECA2517/CB4856,E,6,median.TOF,256
20200319,sqsthemi,NA,NA,1,zinc,water,CB4856/ECA2517,E,7,median.TOF,257.5
20200319,sqsthemi,NA,NA,1,zinc,water,ECA859/ECA2517,E,8,median.TOF,241
20200319,sqsthemi,NA,NA,1,zinc,water,ECA2517/ECA859,E,9,median.TOF,272
20200319,sqsthemi,NA,NA,1,zinc,water,N2/N2,F,1,median.TOF,287
