date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype
20191107,zincIII,1,a,1,water,None,N2,A,1,median.TOF,13.551948051948099
20191107,zincIII,1,a,1,water,None,ECA1380,A,11,median.TOF,19.051948051948074
20191107,zincIII,1,a,1,water,None,CB4856,A,2,median.TOF,-28.448051948051933
20191107,zincIII,1,a,1,water,None,ECA838,A,3,median.TOF,-15.948051948051932
20191107,zincIII,1,a,1,water,None,ECA859,A,4,median.TOF,-50.44805194805193
20191107,zincIII,1,a,1,water,None,ECA1371,A,5,median.TOF,1.0519480519480682
20191107,zincIII,1,a,1,water,None,ECA1372,A,6,median.TOF,8.551948051948068
20191107,zincIII,1,a,1,water,None,ECA1373,A,7,median.TOF,-58.94805194805193
20191107,zincIII,1,a,1,water,None,ECA1377,A,8,median.TOF,-1.4480519480519318
20191107,zincIII,1,a,1,water,None,ECA1378,A,9,median.TOF,6.551948051948068
20191107,zincIII,1,a,1,water,None,N2,B,1,median.TOF,6.551948051948068
20191107,zincIII,1,a,1,water,None,ECA1379,B,10,median.TOF,-6.948051948051932
20191107,zincIII,1,a,1,water,None,ECA1380,B,11,median.TOF,36.55194805194807
20191107,zincIII,1,a,1,water,None,CB4856,B,2,median.TOF,5.551948051948068
20191107,zincIII,1,a,1,water,None,ECA838,B,3,median.TOF,-0.4480519480519318
20191107,zincIII,1,a,1,water,None,ECA859,B,4,median.TOF,-51.44805194805193
20191107,zincIII,1,a,1,water,None,ECA1371,B,5,median.TOF,17.051948051948067
20191107,zincIII,1,a,1,water,None,ECA1372,B,6,median.TOF,14.551948051948068
20191107,zincIII,1,a,1,water,None,ECA1373,B,7,median.TOF,2.5519480519480684
20191107,zincIII,1,a,1,water,None,ECA1377,B,8,median.TOF,27.551948051948067
20191107,zincIII,1,a,1,water,None,ECA1378,B,9,median.TOF,6.551948051948068
20191107,zincIII,1,a,1,water,None,N2,C,1,median.TOF,6.551948051948068
20191107,zincIII,1,a,1,water,None,ECA1379,C,10,median.TOF,26.551948051948067
20191107,zincIII,1,a,1,water,None,ECA1380,C,11,median.TOF,49.55194805194807
20191107,zincIII,1,a,1,water,None,CB4856,C,2,median.TOF,29.551948051948067
20191107,zincIII,1,a,1,water,None,ECA838,C,3,median.TOF,7.051948051948068
20191107,zincIII,1,a,1,water,None,ECA859,C,4,median.TOF,2.5519480519480684
20191107,zincIII,1,a,1,water,None,ECA1371,C,5,median.TOF,11.551948051948068
20191107,zincIII,1,a,1,water,None,ECA1372,C,6,median.TOF,17.551948051948067
20191107,zincIII,1,a,1,water,None,ECA1373,C,7,median.TOF,-5.448051948051932
20191107,zincIII,1,a,1,water,None,ECA1377,C,8,median.TOF,26.551948051948067
20191107,zincIII,1,a,1,water,None,ECA1378,C,9,median.TOF,15.551948051948068
20191107,zincIII,1,a,1,water,None,N2,D,1,median.TOF,3.5519480519480684
20191107,zincIII,1,a,1,water,None,ECA1379,D,10,median.TOF,29.051948051948067
20191107,zincIII,1,a,1,water,None,ECA1380,D,11,median.TOF,3.5519480519480684
20191107,zincIII,1,a,1,water,None,CB4856,D,2,median.TOF,12.551948051948068
20191107,zincIII,1,a,1,water,None,ECA838,D,3,median.TOF,5.051948051948068
20191107,zincIII,1,a,1,water,None,ECA859,D,4,median.TOF,-29.448051948051933
20191107,zincIII,1,a,1,water,None,ECA1371,D,5,median.TOF,-7.448051948051932
20191107,zincIII,1,a,1,water,None,ECA1372,D,6,median.TOF,2.5519480519480684
20191107,zincIII,1,a,1,water,None,ECA1373,D,7,median.TOF,-27.948051948051933
20191107,zincIII,1,a,1,water,None,ECA1377,D,8,median.TOF,4.551948051948068
20191107,zincIII,1,a,1,water,None,ECA1378,D,9,median.TOF,17.551948051948067
20191107,zincIII,1,a,1,water,None,N2,E,1,median.TOF,0.5519480519480682
20191107,zincIII,1,a,1,water,None,ECA1379,E,10,median.TOF,1.5519480519480682
20191107,zincIII,1,a,1,water,None,ECA1380,E,11,median.TOF,6.551948051948068
20191107,zincIII,1,a,1,water,None,CB4856,E,2,median.TOF,-13.448051948051932
20191107,zincIII,1,a,1,water,None,ECA838,E,3,median.TOF,-7.448051948051932
20191107,zincIII,1,a,1,water,None,ECA859,E,4,median.TOF,-21.448051948051933
20191107,zincIII,1,a,1,water,None,ECA1371,E,5,median.TOF,-6.948051948051932
20191107,zincIII,1,a,1,water,None,ECA1372,E,6,median.TOF,12.551948051948068
20191107,zincIII,1,a,1,water,None,ECA1373,E,7,median.TOF,-27.948051948051933
20191107,zincIII,1,a,1,water,None,ECA1377,E,8,median.TOF,-9.948051948051932
20191107,zincIII,1,a,1,water,None,ECA1378,E,9,median.TOF,28.551948051948067
20191107,zincIII,1,a,1,water,None,N2,F,1,median.TOF,0.5519480519480682
20191107,zincIII,1,a,1,water,None,ECA1379,F,10,median.TOF,2.5519480519480684
20191107,zincIII,1,a,1,water,None,ECA1380,F,11,median.TOF,3.5519480519480684
20191107,zincIII,1,a,1,water,None,CB4856,F,2,median.TOF,16.051948051948067
20191107,zincIII,1,a,1,water,None,ECA838,F,3,median.TOF,14.051948051948068
20191107,zincIII,1,a,1,water,None,ECA859,F,4,median.TOF,-51.44805194805193
20191107,zincIII,1,a,1,water,None,ECA1371,F,5,median.TOF,-0.4480519480519318
20191107,zincIII,1,a,1,water,None,ECA1372,F,6,median.TOF,63.55194805194807
