wbgene,gene_name,gene_id,concise_description,automated_description,gene_class_description,go_term,go_name,go_description,inside_CI,eqtl,vars,pc_vars,go_annotation
WBGene00000081,ads-1,Y50D7A.7,ads-1 is an ortholog of human AGPS (alkylglycerone phosphate  synthase; OMIM:603051) that is required for the biosynthesis of ether lipids; mutation  of human AGPS leads to type 3 rhizomelic chondrodysplasia punctata (OMIM:600121). ,Is an ortholog of human AGPS (alkylglycerone phosphate synthase).  Is predicted to have FAD binding activity and alkylglycerone-phosphate synthase  activity. Human ortholog(s) of this gene are implicated in rhizomelic chondrodysplasia  punctata type 3. ,Alkyl-Dihydroxyacetonephosphate Synthase ,GO:0003824|GO:0005777|GO:0006629|GO:0008609|GO:0008610|GO:0008611|GO:0016491|GO:0016740|GO:0050660|GO:0055114|GO:0071949,catalytic activity|peroxisome|lipid metabolic process|alkylglycerone-phosphate synthase activity|lipid biosynthetic process|ether lipid biosynthetic process|oxidoreductase activity|transferase activity|flavin adenine dinucleotide binding|oxidation-reduction process|FAD binding,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.|A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism.|The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.|Catalysis of the reaction: 1-acyl-glycerone 3-phosphate + a long-chain alcohol = 1-alkyl-glycerone 3-phosphate + a long-chain acid anion.|The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent.|The chemical reactions and pathways resulting in the formation of ether lipids, lipids that contain (normally) one lipid alcohol in ether linkage to one of the carbon atoms (normally C-1) of glycerol.|Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.|Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.|Interacting selectively and non-covalently with FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2.|A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.|Interacting selectively and non-covalently with the oxidized form, FAD, of flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes.",TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00000663,col-88,W05G11.3,none available ,Is an ortholog of human SFTPD (surfactant protein D). Is  predicted to be a structural constituent of cuticle. ,COLlagen ,GO:0016020|GO:0016021|GO:0042302,membrane|integral component of membrane|structural constituent of cuticle,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.|The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.|The action of a molecule that contributes to the structural integrity of a cuticle.,TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00001561,gei-4,W07B3.2a,"gei-4 encodes a protein with a coiled-coil domain (predicted  to mediate protein-protein interactions), an internal repeat of 69 residues (covering  residues 134-202, 203-265, and 266-328 of W07B3.2a), and a glutamine/asparagine-rich  domain; GEI-4 is paralogous to Y50D7A.8 and Y59C2A.3, physically interacts with  GEX-2, and is required for embryonic viability, fertility, and vulval morphogenesis;  GEI-4 is claimed to have weak homology to trichohyalin, a mammalian intermediate  filament interacting protein; the similarity of the mutant phenotypes of gei-4,  gex-2 and gex-3 and their interaction sugggest that the GEX-2/GEX-3/GEI-4 protein  complex is essential for the regulation of intermediate filaments during rearrangement  of the cytoskeleton that occurs in embryogenesis; GFI-2, an ankyrin-repeat protein  associates with GEI-4 and exhibits a similar mutant phenotype, suggesting that gfi-2  is also involved in intermediate filament dynamics. ",Is involved in negative regulation of Ras protein signal  transduction and negative regulation of vulval development. ,GEX Interacting protein ,GO:0005515|GO:0040027|GO:0046580,protein binding|negative regulation of vulval development|negative regulation of Ras protein signal transduction,"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).|Any process that stops, prevents, or reduces the frequency, rate or extent of development of the vulva. Vulval development is the process whose specific outcome is the progression of the egg-laying organ of female and hermaphrodite nematodes over time, from its formation to the mature structure. In nematodes, the vulva is formed from ventral epidermal cells during larval stages to give rise to a fully formed vulva in the adult.|Any process that stops, prevents, or reduces the frequency, rate or extent of Ras protein signal transduction.",TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00001963,btb-1,F40G9.4,none available ,Is enriched in germ line based on RNA-seq studies. Is affected  by several genes including eat-2; sir-2.1; and mut-2 based on microarray and RNA-seq  studies. Is affected by seven chemicals including stavudine; Psoralens; and allantoin  based on RNA-seq and microarray studies. ,BTB (Broad/complex/Tramtrack/Bric a brac) domain protein ,"NA","NA","NA",TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00002230,klp-20,Y50D7A.6,"klp-20 encodes one of 19 C. elegans kinesin-like proteins;  KLP-20, along with KLP-11 and KAP-1, is a component of heterotrimeric kinesin-II  that cooperates with OSM-3 motors to facilitate anterograde intraflagellar transport  essential for formation of sensory neuron cilia. ",Is an ortholog of human KIF3A (kinesin family member 3A).  Exhibits microtubule motor activity. Is involved in microtubule-based movement.  Localizes to the axonemal heterotrimeric kinesin-II complex. Is expressed in ciliated  neurons and head. ,Kinesin-Like Protein ,GO:0000166|GO:0003777|GO:0005524|GO:0005737|GO:0005856|GO:0005871|GO:0005874|GO:0005929|GO:0007018|GO:0007411|GO:0008017|GO:0008089|GO:0016887|GO:0030993|GO:0042995|GO:0060271|GO:1904115,nucleotide binding|microtubule motor activity|ATP binding|cytoplasm|cytoskeleton|kinesin complex|microtubule|cilium|microtubule-based movement|axon guidance|microtubule binding|anterograde axonal transport|ATPase activity|axonemal heterotrimeric kinesin-II complex|cell projection|cilium assembly|axon cytoplasm,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.|Catalysis of movement along a microtubule, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP).|Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.|All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.|Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles.|Any complex that includes a dimer of molecules from the kinesin superfamily, a group of related proteins that contain an extended region of predicted alpha-helical coiled coil in the main chain that likely produces dimerization. The native complexes of several kinesin family members have also been shown to contain additional peptides, often designated light chains as all of the noncatalytic subunits that are currently known are smaller than the chain that contains the motor unit. Kinesin complexes generally possess a force-generating enzymatic activity, or motor, which converts the free energy of the gamma phosphate bond of ATP into mechanical work.|Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.|A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body.|A microtubule-based process that results in the movement of organelles, other microtubules, or other cellular components.  Examples include motor-driven movement along microtubules and movement driven by polymerization or depolymerization of microtubules.|The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues.|Interacting selectively and non-covalently with microtubules, filaments composed of tubulin monomers.|The directed movement of organelles or molecules along microtubules from the cell body toward the cell periphery in nerve cell axons.|Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.|A kinesin complex found in eukaryotic axonemes that contains two distinct plus end-directed kinesin motor proteins and at least one accessory subunit, and that functions in the anterograde transport of molecules (cargo) from the basal body to the distal tip of the axoneme.|A prolongation or process extending from a cell, e.g. a flagellum or axon.|The assembly of a cilium, a specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole.|Any cytoplasm that is part of a axon.",TRUE,TRUE,TRUE,TRUE,FALSE
WBGene00003099,lys-10,F17E9.11,none available ,Is enriched in germ line and intestine based on RNA-seq studies.  Is affected by several genes including daf-2; daf-12; and clk-1 based on microarray  and RNA-seq studies. Is affected by sixteen chemicals including 1-methylnicotinamide;  methylmercuric chloride; and Rotenone based on RNA-seq and microarray studies. Is  predicted to encode a protein with the following domain: Glycoside hydrolase superfamily. ,LYSozyme ,GO:0007165,signal transduction,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.",FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00003134,mat-3,F10C5.1,"mat-3 encodes a tetratricopeptide repeat (TPR)-containing protein  that is the C. elegans ortholog of CDC23/APC8, a conserved regulatory subunit of  the anaphase-promoting complex; mat-3 activity is required for progression through  metaphase of oocyte meiosis I, germline proliferation, and vulval development. ",Is an ortholog of human CDC23 (cell division cycle 23). Is  involved in asymmetric cell division; polarity specification of anterior/posterior  axis; and positive regulation of metaphase/anaphase transition of meiosis I. ,Metaphase-to-Anaphase Transition defect ,GO:0006836|GO:0007049|GO:0007275|GO:0008356|GO:0009949|GO:0016567|GO:0032947|GO:0051301|GO:0051321|GO:1905188,neurotransmitter transport|cell cycle|multicellular organism development|asymmetric cell division|polarity specification of anterior/posterior axis|protein ubiquitination|protein-containing complex scaffold activity|cell division|meiotic cell cycle|positive regulation of metaphase/anaphase transition of meiosis I,"The directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell.|The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division.|The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).|The asymmetric division of cells to produce two daughter cells with different developmental potentials. It is of fundamental significance for the generation of cell diversity.|Any process resulting in the establishment of polarity along the anterior/posterior axis.|The process in which one or more ubiquitin groups are added to a protein.|A structural molecule activity that provides a physical support for the assembly of a multiprotein complex. The scaffold may or may not be part of the final complex.|The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells.|Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions.|Any process that activates or increases the frequency, rate or extent of metaphase/anaphase transition of meiosis I.",TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00003510,mxl-2,F40G9.11,none available ,Is an ortholog of human MLX. Is predicted to have DNA-binding  transcription factor activity. Is involved in determination of adult lifespan and  negative regulation of gene expression. Localizes to the cytoplasm and nucleus.  Is expressed in hypodermis and intestine. ,MaX-Like ,GO:0003700|GO:0005515|GO:0005634|GO:0005737|GO:0006355|GO:0006357|GO:0008134|GO:0008340|GO:0010629|GO:0046983,"DNA-binding transcription factor activity|protein binding|nucleus|cytoplasm|regulation of transcription, DNA-templated|regulation of transcription by RNA polymerase II|transcription factor binding|determination of adult lifespan|negative regulation of gene expression|protein dimerization activity","A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.|Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).|A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.|All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.|Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.|Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II.|Interacting selectively and non-covalently with a transcription factor, a protein required to initiate or regulate transcription.|The control of viability and duration in the adult phase of the life-cycle.|Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.|The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",TRUE,TRUE,TRUE,TRUE,FALSE
WBGene00003670,nhr-80,H10E21.3a,"nhr-80 encodes a nuclear hormone receptor, expressed in the  intestine,that regulates expression of the delta-9 desaturases FAT-5/-6/-7, andthus  regulates fatty acid metabolism; NHR-80 is fully required for anyexpression of FAT-7,  full expression of FAT-5/-6, viability in theabsence of FAT-6, and transcriptional  hyperactivation of fat-7 in theabsence of FAT-6, and for a fully normal adult lifespan;  nhr-80 isexpressed robustly in the intestine during larval and adult stages ofdevelopment,  with some expression also seen in head muscles; nhr-80 isspecific to nematodes,  being a divergent ortholog of HNF4 with manyparalogs in C. elegans; nhr-80(tm1011)  mutants, like nhr-49 mutants,have an increased ration of saturated 18:0 fatty acids  tomonounsaturated 18:1 ones (4.6 instead of 2.2); nhr-80(tm1011) mutantsare viable  and fertile and have no increase in fat storage, but doublefat-6(tm331);nhr-80(tm1011)  mutants, (or fat-6(tm331) mutants subjectedto nhr-80(RNAi), are synthetically lethal  unless cultured on mediasupplemented with desaturated fatty acids. ",Is predicted to have DNA-binding transcription factor activity;  sequence-specific DNA binding activity; and zinc ion binding activity. Is involved  in determination of adult lifespan; positive regulation of fatty acid metabolic  process; and positive regulation of transcription by RNA polymerase II. Localizes  to the nucleus. Is expressed in head; intestine; muscle cell; somatic nervous system;  and tail neurons. ,Nuclear Hormone Receptor family ,GO:0003677|GO:0003700|GO:0005634|GO:0006355|GO:0007275|GO:0008270|GO:0008340|GO:0043565|GO:0045923|GO:0045944|GO:0046872,"DNA binding|DNA-binding transcription factor activity|nucleus|regulation of transcription, DNA-templated|multicellular organism development|zinc ion binding|determination of adult lifespan|sequence-specific DNA binding|positive regulation of fatty acid metabolic process|positive regulation of transcription by RNA polymerase II|metal ion binding","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).|A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.|A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.|Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.|The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).|Interacting selectively and non-covalently with zinc (Zn) ions.|The control of viability and duration in the adult phase of the life-cycle.|Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.|Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving fatty acids.|Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.|Interacting selectively and non-covalently with any metal ion.",TRUE,FALSE,TRUE,TRUE,TRUE
WBGene00003770,nlp-32,F30H5.2,nlp-32 encodes a neuropeptide-like protein. ,Is expressed in head. ,Neuropeptide-Like Protein ,GO:0005576|GO:0007218,extracellular region|neuropeptide signaling pathway,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.|The series of molecular signals generated as a consequence of a peptide neurotransmitter binding to a cell surface receptor.,TRUE,FALSE,FALSE,FALSE,FALSE
